date,#,filename,path,type,CWT,FIR,LabView ver,Py_version,project,hard_exclude,mouse_id,patch_site,best_frequency,tuning,tuning_from,need_checking,intrinsic_check,tuning_check,final_inclusion,fs_neuron
20230412,3,20230412_003,E:\in-vivo_patch\20230412/20230412_003_.tdms,Pure Tones,no,20230320,1.6,3,Vc,exclude,,,,,,,,,,
20230417,1,20230417_001,E:\in-vivo_patch\20230417/20230417_001_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230417,2,20230417_002,E:\in-vivo_patch\20230417/20230417_002_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230417,3,20230417_003,E:\in-vivo_patch\20230417/20230417_003_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230417,4,20230417_004,E:\in-vivo_patch\20230417/20230417_004_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230428,1,20230428_001,E:\in-vivo_patch\20230428/20230428_001_.tdms,Pure Tones,no,20230320,1.6,3,Ic,,,,,,,,,,,
20230428,2,20230428_002,E:\in-vivo_patch\20230428/20230428_002_.tdms,Log sFM,no,20230320,1.6,3,Ic,,,,,,,,,,,
20230428,3,20230428_003,E:\in-vivo_patch\20230428/20230428_003_.tdms,Log sFM,no,20230320,1.6,3,Ic,,,,,,,,,,,
20230428,4,20230428_004,E:\in-vivo_patch\20230428/20230428_004_.tdms,Pure Tones,no,20230320,1.6,3,Ic,,,,,,,,,,,
20230428,5,20230428_005,E:\in-vivo_patch\20230428/20230428_005_.tdms,Log sFM,no,20230320,1.6,3,Ic,,,,,,,,,,,
20230428,6,20230428_006,E:\in-vivo_patch\20230428/20230428_006_.tdms,Pure Tones,no,20230320,1.6,3,Ic,exclude,,,,,,,,,,
20230607,1,20230607_001,E:\in-vivo_patch\20230607/20230607_001_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG150,up,13680.58931,yes,,,,,yes,
20230607,2,20230607_002,E:\in-vivo_patch\20230607/20230607_002_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,13680.58931,,20230607_001,,,,yes,
